Node_Start,Node_End,Length
0,48,1179.207157
0,64,620.9053755
0,16,921.0410139
1,1287,730.2875808
1,310,467.5522935
2,18,1343.253385
2,49,2157.007237
2,34,3962.074577
2,66,2847.913944
3,741,2662.134322
3,126,1538.935186
3,19,768.4620807
3,51,4181.143453
4,407,443.815225
4,654,121.2443022
5,194,124.7648613
5,619,121.1557126
6,900,150.5741881
6,725,180.6695447
7,210,524.5509497
7,421,501.773329
7,365,521.0576293
7,340,674.1569701
8,915,262.0547376
8,887,397.8707718
8,486,219.1141492
9,1766,231.7111229
9,1471,142.7229606
9,1672,295.7785775
10,1652,393.3975505
10,791,314.7466556
10,1064,301.3254122
11,214,278.1529173
11,579,239.1655126
12,28,531.5645307
12,382,1229.628076
12,90,272.1300849
13,792,321.9945508
13,737,320.8957553
13,202,430.2623322
14,1215,436.5838356
14,762,518.9610531
14,608,906.1380717
15,335,503.3719165
15,309,370.0824554
15,162,1119.4482
16,80,964.822029
16,177,1371.854501
17,219,643.6417399
17,65,1933.671041
17,49,447.9160573
18,65,747.6592605
18,458,2558.887309
19,126,1877.861688
19,431,1672.884115
19,35,2397.625728
20,465,1304.912095
20,82,792.6168708
20,456,941.1702069
21,1162,297.9644774
21,1653,491.0600093
22,1369,297.4541047
22,1365,126.4330825
22,1229,640.3378561
23,288,477.2751353
23,388,744.8007551
23,154,662.8173793
24,742,534.7262649
24,1020,1087.243613
25,711,344.9470654
25,1860,257.6165547
25,811,233.7971718
25,1299,414.1344437
26,1078,120.2890328
26,1815,55.09816775
26,1797,47.47870099
26,1694,177.9770438
27,43,395.6032631
27,331,804.1917262
27,357,1712.154667
27,633,516.7491094
28,117,598.1445228
28,228,1158.521852
29,761,439.4701222
29,1058,248.4815623
29,455,471.5487556
29,562,419.311019
30,653,205.6812406
30,482,198.6988912
30,1125,358.9538853
31,63,442.5338513
31,335,421.783258
31,283,641.1616517
32,731,3932.226913
32,438,2356.527401
32,64,1557.607396
33,164,221.4271661
33,150,824.5702416
33,81,633.6067313
33,192,618.1188471
34,749,3705.554474
34,50,2352.605615
35,67,3231.919547
35,51,3382.064279
36,385,347.1260675
36,564,476.5458367
36,672,290.8539716
37,1210,525.6174909
37,906,289.0479444
37,801,870.2509514
38,593,468.6458284
38,313,1568.99986
38,823,534.061291
39,410,713.2862675
39,388,646.8891553
39,154,868.2777382
40,86,256.210622
40,141,211.7407755
40,831,124.1066729
41,797,848.9314547
41,951,289.5094766
41,1110,230.317022
42,1875,494.2698699
42,641,369.6500203
42,1171,429.010321
42,1725,426.6043255
43,200,389.6542203
43,570,766.0010004
44,267,684.6502382
44,713,1020.176889
44,1250,395.8115907
44,145,424.8850094
45,737,437.27896
45,202,316.9564225
45,1044,260.2348094
45,1244,229.5704148
46,912,205.4299773
46,1024,280.7455374
46,1119,113.8159393
47,231,922.6154733
48,149,1042.151102
48,80,949.7687465
49,323,260.003546
50,51,1099.377533
50,66,5178.755161
52,663,1387.754926
52,447,175.2258277
53,298,878.2173475
53,221,174.577126
53,1416,399.819279
53,941,681.411241
54,1109,217.6304248
54,1241,364.468426
54,879,215.9173046
55,196,587.8169162
55,168,640.8767311
56,859,63.4009281
56,895,1083.884355
56,1627,280.3753136
56,817,1120.459658
57,1370,369.4097262
57,1663,138.3653967
57,1471,344.4107303
58,1036,207.9239017
58,115,245.4249467
58,470,313.9204424
59,462,1233.652182
59,597,1072.394654
59,305,2896.260247
60,254,769.663418
61,188,274.1133533
61,342,266.2771936
62,360,304.9521499
62,1038,224.0604964
63,762,667.0150371
63,296,556.1092987
63,671,506.0911374
64,108,2179.281715
65,310,680.9342629
66,136,2514.976447
67,399,2556.670043
67,249,3561.461404
68,259,233.2483219
68,389,1044.207014
68,474,1103.828643
69,1408,217.7158719
69,1671,543.3340304
69,1626,433.0946594
69,990,335.3540978
70,1421,171.0052479
70,1417,315.986651
70,1377,260.1592847
71,196,513.6855656
71,275,518.3521345
71,421,686.2321224
72,366,66.08638951
72,1170,155.8463457
73,1394,269.7031656
73,1872,270.7760379
73,101,490.4980126
74,776,645.8292508
74,533,244.0320835
74,728,343.7264565
75,392,333.8853966
75,253,367.8425915
75,507,494.3112084
75,687,403.8793365
76,280,1348.923914
76,393,1662.937701
76,908,2259.420999
77,1030,299.4921877
77,925,160.9066087
77,472,176.3622819
78,1065,402.5694056
78,203,698.8963881
78,1266,883.1558153
78,738,464.4351601
79,322,766.5512676
79,134,987.1946311
80,121,1234.279989
81,95,619.7093779
81,310,1080.785337
81,206,711.2274612
82,654,269.0872958
82,492,214.3025008
83,1485,418.6414886
83,1446,520.1873761
1440,83,226.564955
83,801,363.9071631
84,1405,364.7385995
84,1019,209.2367022
84,1199,366.3525489
85,168,1658.984337
85,210,477.5222472
85,327,460.3875534
85,314,1769.885404
86,354,232.8683491
86,971,174.7956832
86,211,443.8111945
87,1760,214.3053235
87,1188,198.5438166
87,568,144.6887032
88,1451,437.604509
88,402,224.9325864
88,1843,104.1724733
88,1001,124.055725
89,498,190.9052235
89,525,280.2382615
90,319,537.6519444
90,306,622.3122248
91,876,297.4542591
91,281,250.6598557
91,1178,346.78701
91,508,284.4441927
92,662,120.950215
92,269,310.8469857
92,572,859.1051817
92,1209,931.4646503
93,218,1083.881004
93,257,762.4217694
93,335,365.5265608
93,309,557.8703401
94,121,881.2258787
94,205,2267.452804
94,163,827.6900126
94,135,2127.548928
95,1018,304.8576438
95,271,618.8615534
95,150,592.1145424
96,179,138.1830066
96,739,200.9250985
97,1606,301.3132414
97,1011,268.7515305
97,1476,238.0516
97,1376,290.3158797
98,274,254.7836353
98,1235,234.1682854
98,921,372.02162
99,425,495.6572492
99,209,670.6359917
99,168,963.8123125
100,1041,370.3952835
100,411,325.53111
100,400,230.078411
101,1534,812.2037884
101,1798,75.3913012
102,996,383.5315126
102,760,324.4906359
102,551,161.9954584
103,331,1058.0009
103,597,804.0456248
104,319,549.5478994
104,404,919.8431229
104,332,1085.589741
105,820,372.5739333
105,713,1866.193322
105,544,1640.565362
106,1191,88.70577189
106,1094,67.67788705
107,231,107.0088861
107,1215,473.6901755
107,218,534.7818544
108,177,775.7273466
108,191,3154.6432
109,192,565.2138329
109,206,540.5774824
109,219,397.2930404
110,707,294.8788977
110,123,382.8435085
110,337,426.6868549
110,1297,1033.325213
111,1868,377.2787873
111,732,97.02682425
111,1095,169.5263733
112,1278,170.884252
112,725,379.1506685
112,1333,175.0677146
113,410,491.9788734
113,223,541.0916099
114,774,514.6940253
114,718,440.0064418
114,639,304.3038699
114,693,399.5874423
115,1201,146.9511223
115,1610,93.60051923
116,1015,1360.418285
116,1105,205.9431244
116,471,389.1891435
116,292,1343.962194
117,187,245.8542348
117,370,276.4329203
117,173,1152.580029
761,118,434.3321001
118,562,444.6381518
118,904,472.1494252
118,586,290.5469425
119,738,689.9948448
119,1073,860.6192695
120,176,530.9788349
120,218,1122.026642
120,257,1158.153395
121,149,1007.20024
122,164,749.885223
122,192,702.2276992
122,336,1592.572846
123,636,290.5871016
123,1240,312.9263622
123,885,239.0985736
124,583,359.9913936
124,1228,502.0930578
124,1384,271.3491026
