case,mode,seed,best_step,node_table_bytes,decoder_trainable_bytes,mre_percent,p95_relative_percent,max_relative_percent,mae,normalized_mse,direction_half_difference_rmse,cycle_half_difference_rmse,prediction_cycle_max_abs,overprediction_fraction,underprediction_fraction,negative_prediction_fraction,high_asymmetry_mre_percent,short_quartile_mre_percent
tree127,L1,42,1500,32512,0,8.376577502498115,21.082647442817688,237.18771934509277,1.9759487033024414,0.007925676706683347,2.460930815248637,0.0,0.0,0.49856267966504186,0.5013123359580053,0.0,16.830416306996014,13.217697371460202
tree127,L1,99,1500,32512,0,8.378780025082172,21.07129441367255,230.11698722839355,1.9760157152528004,0.00792689614094936,2.460930815248637,0.0,0.0,0.5014998125234346,0.49850018747656544,0.0,16.84625930934416,13.22759982483018
tree127,L1,1234,1500,32512,0,8.380193342646619,21.05407381057737,244.9824571609497,1.9764798949054145,0.007927689023844298,2.460930815248637,0.0,0.0,0.5037495313085865,0.4962504686914136,0.0,16.836859539312215,13.228756535305916
tree127,T1,42,1500,32512,0,0.1545882837232859,0.6066710608346111,29.08198833465576,0.018712460175259026,3.185499124446866e-06,1.1267803739717315e-06,1.8438789940604486e-06,7.62939453125e-06,0.5174978127734033,0.48168978877640295,0.0,0.316330866273546,0.4886421837880332
tree127,T1,99,1500,32512,0,0.20168382657040637,0.769290631758297,43.84963512420654,0.023843923407395978,4.4013125611053885e-06,1.1127906330025152e-06,1.769738845609872e-06,7.152557373046875e-06,0.5152480939882514,0.4834395700537433,0.0,0.40161541248768096,0.6428690402145671
tree127,T1,1234,1500,32512,0,0.1897445765279825,0.8281296608494776,28.03335189819336,0.02370084966514844,4.995446589480922e-06,2.0472751127269603e-06,1.793619443207262e-06,7.62939453125e-06,0.49375078115235593,0.5049368828896388,0.0,0.36067491233151844,0.5941104660382293
tree127,P64,42,1026,32512,0,0.20839699505275472,0.6443004500597017,177.43358612060547,0.02919380107740658,3.527830689850076e-05,0.11499193498052948,0.19483486530535504,2.601808547973633,0.5421197350331208,0.3968878890138733,0.0,0.4016340123417999,0.5920170180442859
tree127,P64,99,709,32512,0,0.3077224823681439,1.1343149609035894,57.851314544677734,0.043447387641615424,6.338561518781285e-05,0.15078535403536403,0.25820344537369744,3.233109474182129,0.4583177102862142,0.2850893638295213,0.0,0.5986820965702754,0.8737861137381302
tree127,P64,1234,1158,32512,0,0.31593121396805374,0.9995819727579738,69.6324110031128,0.04317999737603324,5.088265179026264e-05,0.13552697300906247,0.2298922784951417,2.880220413208008,0.5489938757655293,0.43444569428821395,0.0,0.6383244166628399,0.9136445373189606
tree127,B2,42,1384,32512,0,0.04149885005472107,0.17333962978460785,6.887209415435791,0.005153145943264889,1.6169550590406569e-07,7.696328282802146e-05,0.00012333017443539866,0.0008747577667236328,0.5971128608923885,0.40013748281464817,0.0,0.0804329561500303,0.12929499197867791
